0,0,0,0
1,0,128,1
2,0,1,2
3,1,0,0
4,1,132,1
5,1,4,2
6,2,0,0
7,2,2,1
8,2,5,2
9,3,0,0
10,3,135,1
11,3,8,2
12,4,0,0
13,4,143,1
14,4,19,2
15,5,0,0
16,5,2,1
17,5,23,2
18,6,0,0
19,6,129,1
20,6,32,2
21,7,0,0
22,7,128,1
23,7,35,2
24,8,0,0
25,8,128,1
26,8,38,2
27,9,0,0
28,9,129,1
29,9,39,2
30,10,0,0
31,10,16,1
32,10,43,2
33,11,0,0
34,11,135,1
35,11,46,2
36,12,0,0
37,12,128,1
38,12,47,2
39,13,0,0
40,13,133,1
41,13,51,2
42,14,0,0
43,14,128,1
44,14,52,2
45,15,0,0
46,15,144,1
47,15,55,2
48,16,0,0
49,16,2,1
50,16,59,2
51,17,0,0
52,17,2,1
53,17,63,2
54,18,0,0
55,18,128,1
56,18,66,2
57,19,0,0
58,19,2,1
59,19,72,2
60,20,0,0
61,20,2,1
62,20,79,2
63,21,0,0
64,21,129,1
65,21,89,2
66,22,0,0
67,22,129,1
68,22,91,2
69,23,0,0
70,23,2,1
71,23,93,2
72,24,0,0
73,24,129,1
74,24,97,2
75,25,0,0
76,25,129,1
77,25,100,2
78,26,0,0
79,26,135,1
80,26,102,2
81,27,0,0
82,27,128,1
83,27,105,2
84,28,0,0
85,28,128,1
86,28,106,2
87,29,0,0
88,29,128,1
89,29,108,2
90,30,0,0
91,30,128,1
92,30,110,2
93,31,0,0
94,31,129,1
95,31,115,2
96,32,0,0
97,32,135,1
98,32,116,2
99,33,0,0
100,33,135,1
101,33,119,2
102,34,0,0
103,34,2,1
104,34,122,2
105,35,0,0
106,35,129,1
107,35,126,2
108,36,0,0
109,36,128,1
110,37,0,0
111,37,129,1
112,38,0,0
113,38,129,1
114,38,130,2
115,39,0,0
116,39,132,1
117,39,131,2
118,40,0,0
119,40,2,1
120,40,137,2
121,41,0,0
122,41,128,1
123,41,142,2
124,42,0,0
125,42,2,1
126,42,147,2
127,43,0,0
128,43,128,1
129,43,149,2
130,44,0,0
131,44,138,1
132,44,151,2
133,45,0,0
134,45,128,1
135,45,154,2
136,46,0,0
137,46,128,1
138,46,163,2
139,47,0,0
140,47,133,1
141,47,164,2
142,48,0,0
143,48,2,1
144,48,165,2
145,49,0,0
146,49,132,1
147,49,167,2
148,50,0,0
149,50,16,1
150,50,169,2
151,51,0,0
152,51,138,1
153,51,170,2
154,52,0,0
155,52,128,1
156,52,173,2
157,53,0,0
158,53,128,1
159,53,174,2
160,54,0,0
161,54,132,1
162,54,177,2
163,55,1,0
164,55,12,1
165,55,3,2
166,56,1,0
167,56,129,1
168,56,9,2
169,57,1,0
170,57,128,1
171,57,12,2
172,58,1,0
173,58,129,1
174,58,13,2
175,59,1,0
176,59,138,1
177,59,16,2
178,60,1,0
179,60,12,1
180,60,19,2
181,61,1,0
182,61,128,1
183,61,20,2
184,62,1,0
185,62,128,1
186,62,21,2
187,63,1,0
188,63,12,1
189,63,31,2
190,64,1,0
191,64,129,1
192,64,32,2
193,65,1,0
194,65,128,1
195,65,35,2
196,66,1,0
197,66,129,1
198,66,36,2
199,67,1,0
200,67,129,1
201,67,39,2
202,68,1,0
203,68,138,1
204,68,40,2
205,69,1,0
206,69,129,1
207,69,44,2
208,70,1,0
209,70,128,1
210,70,47,2
211,71,1,0
212,71,128,1
213,71,48,2
214,72,1,0
215,72,129,1
216,72,50,2
217,73,1,0
218,73,15,1
219,73,51,2
220,74,1,0
221,74,128,1
222,74,52,2
223,75,1,0
224,75,139,1
225,75,53,2
226,76,1,0
227,76,21,1
228,76,55,2
229,77,1,0
230,77,128,1
231,77,57,2
232,78,1,0
233,78,12,1
234,78,59,2
235,79,1,0
236,79,129,1
237,79,61,2
238,80,1,0
239,80,128,1
240,80,62,2
241,81,1,0
242,81,128,1
243,81,66,2
244,82,1,0
245,82,129,1
246,82,71,2
247,83,1,0
248,83,128,1
249,83,74,2
250,84,1,0
251,84,15,1
252,84,76,2
253,85,1,0
254,85,151,1
255,85,77,2
256,86,1,0
257,86,17,1
258,86,78,2
259,87,1,0
260,87,139,1
261,87,84,2
262,88,1,0
263,88,128,1
264,88,92,2
265,89,1,0
266,89,12,1
267,89,93,2
268,90,1,0
269,90,15,1
270,90,98,2
