0,257,121,False,276,0,,2019-10-28 12:54:34,276,0
1,257,6,False,63,61,2019-10-28 12:56:34,2019-10-28 13:02:34,278,0
2,257,3,False,0,278,2019-10-28 13:22:34,,0,0
3,470,86,True,223,0,,2020-09-08 04:11:39,223,1
4,470,4,True,210,140,2020-09-08 04:14:39,2020-09-08 04:54:39,293,1
5,470,159,True,0,293,2020-09-08 05:24:39,,0,1
6,349,136,True,130,0,,2015-04-21 15:28:43,130,2
7,349,128,True,156,109,2015-04-21 15:28:43,2015-04-21 16:08:43,177,2
8,349,160,True,0,177,2015-04-21 16:21:43,,0,2
9,169,23,True,121,0,,2013-08-13 18:58:13,121,3
10,169,4,True,12,90,2013-08-13 19:00:13,2013-08-13 19:29:13,43,3
11,169,50,True,0,43,2013-08-13 19:47:13,,0,3
12,894,158,False,19,0,,2018-10-01 23:28:53,19,4
13,894,175,False,182,6,2018-10-01 23:31:53,2018-10-01 23:51:53,195,4
14,894,54,False,0,195,2018-10-02 00:00:53,,0,4
15,497,90,True,197,0,,2015-11-14 03:15:16,197,5
16,497,142,True,61,167,2015-11-14 03:16:16,2015-11-14 03:31:16,91,5
17,497,101,True,0,91,2015-11-14 04:06:16,,0,5
18,270,31,True,253,0,,2020-04-02 14:59:06,253,6
19,270,24,True,26,62,2020-04-02 15:04:06,2020-04-02 15:17:06,217,6
20,270,129,True,0,217,2020-04-02 15:32:06,,0,6
21,779,65,True,215,0,,2019-11-23 09:07:14,215,7
22,779,132,True,185,126,2019-11-23 09:12:14,2019-11-23 09:36:14,274,7
23,779,167,True,0,274,2019-11-23 10:10:14,,0,7
24,470,159,False,379,0,,2021-10-30 03:19:06,379,8
25,470,4,False,84,310,2021-10-30 03:24:06,2021-10-30 03:29:06,153,8
26,470,86,False,0,153,2021-10-30 03:58:06,,0,8
27,430,163,False,275,0,,2020-12-10 19:28:45,275,9
28,430,128,False,322,122,2020-12-10 19:32:45,2020-12-10 20:17:45,475,9
29,430,112,False,0,475,2020-12-10 20:37:45,,0,9
30,132,63,True,42,0,,2022-05-07 19:49:39,42,10
