0,0-1
1,0-3
2,0-4
3,0-5
4,0-7
5,0-11
6,0-14
7,0-19
8,0-21
9,0-22
10,0-24
11,0-33
12,0-35
13,0-38
14,0-41
15,0-51
16,0-56
17,0-57
18,0-59
19,0-61
20,0-63
21,0-64
22,0-71
23,0-75
24,0-78
25,0-79
26,0-80
27,0-91
28,0-92
29,0-94
30,0-98
31,0-104
32,0-105
33,0-109
34,0-112
35,0-114
36,0-116
37,0-126
38,0-127
39,0-129
40,0-131
41,0-132
42,0-134
43,0-136
44,0-137
45,0-138
46,0-140
47,0-141
48,0-143
49,0-147
50,0-153
51,0-159
52,0-162
53,0-169
54,0-178
55,1-2
56,1-3
57,1-4
58,1-5
59,1-13
60,1-24
61,1-25
62,1-27
63,1-31
64,1-33
65,1-34
66,1-37
67,1-38
68,1-44
69,1-45
70,1-46
71,1-51
72,1-52
73,1-59
74,1-64
75,1-66
76,1-70
77,1-74
78,1-77
79,1-78
80,1-82
81,1-89
82,1-91
83,1-97
84,1-98
85,1-101
86,1-102
87,1-103
88,1-106
89,1-111
90,1-113
91,1-118
92,1-121
93,1-122
94,1-123
95,1-124
96,1-126
97,1-129
98,1-132
99,1-136
100,1-137
101,1-138
102,1-139
103,1-140
104,1-142
105,1-143
106,1-146
107,1-151
108,1-152
109,1-154
110,1-159
111,1-160
112,1-161
113,1-167
114,1-172
115,1-174
116,1-175
117,1-177
118,2-7
119,2-11
120,2-13
121,2-14
122,2-16
123,2-19
124,2-26
125,2-28
126,2-29
127,2-35
128,2-37
129,2-38
130,2-43
131,2-49
132,2-52
133,2-53
134,2-54
135,2-57
136,2-67
137,2-72
138,2-75
139,2-79
140,2-97
141,2-102
142,2-106
143,2-109
144,2-110
145,2-113
146,2-114
147,2-115
148,2-118
149,2-121
150,2-122
151,2-131
152,2-133
153,2-135
154,2-136
155,2-138
156,2-142
157,2-144
158,2-146
159,2-147
160,2-150
161,2-156
162,2-157
163,2-158
164,2-162
165,2-163
166,2-167
167,2-172
168,2-175
169,2-176
170,2-179
171,3-4
172,3-7
173,3-19
174,3-20
175,3-24
176,3-28
177,3-36
178,3-37
179,3-49
180,3-55
